wavelength [nm],intensity
708.70871, 0.00649397
708.90891, 0.01149335
709.10911, 0.01954232
709.30931, 0.03192267
709.50951, 0.05009744
709.70971, 0.07553103
709.90991, 0.10940285
710.11011, 0.15223878
710.31031, 0.20352389
710.51051, 0.26139599
710.71071, 0.32253427
710.91091, 0.38233691
711.11111, 0.43542165
711.31131, 0.47639505
711.51151, 0.50074646
711.71171, 0.50566391
711.91191, 0.49056826
712.11211, 0.45722542
712.31231, 0.40940648
712.51251, 0.35218632
712.71271, 0.29106077
712.91291, 0.23109380
713.11311, 0.17627322
713.31331, 0.12917480
713.51351, 0.09094162
713.71371, 0.06150933
713.91391, 0.03996803
714.11411, 0.02495042
714.31431, 0.01496361
714.51451, 0.00862161
714.71471, 0.00477237
714.91491, 0.00253789
715.11512, 0.00129660
715.31532, 0.00063640
715.51552, 0.00030009
715.71572, 0.00013595
715.91592, 0.00005918
716.11612, 0.00002477
716.31632, 0.00001005
716.51652, 0.00000416
716.71672, 0.00000238
716.91692, 0.00000316
717.11712, 0.00000725
717.31732, 0.00001822
717.51752, 0.00004478
717.71772, 0.00010599
717.91792, 0.00024112
718.11812, 0.00052700
718.31832, 0.00110656
718.51852, 0.00223221
718.71872, 0.00432602
718.91892, 0.00805444
719.11912, 0.01440706
719.31932, 0.02475764
719.51952, 0.04087297
719.71972, 0.06482712
719.91992, 0.09878038
720.12012, 0.14460325
720.32032, 0.20336624
720.52052, 0.27477238
720.72072, 0.35666518
720.92092, 0.44477644
721.12112, 0.53286386
721.32132, 0.61331584
721.52152, 0.67818085
721.72172, 0.72044409
721.92192, 0.73527276
722.12212, 0.72092501
722.32232, 0.67908655
722.52252, 0.61454487
722.72272, 0.53428808
722.92292, 0.44626292
723.12312, 0.35809606
723.32332, 0.27605887
723.52352, 0.20445479
723.72372, 0.14547431
723.92392, 0.09944175
724.12412, 0.06530473
724.32432, 0.04120158
724.52452, 0.02497334
724.72472, 0.01454229
724.92492, 0.00813546
725.12513, 0.00437245
725.32533, 0.00225768
725.52553, 0.00111993
725.72573, 0.00053372
725.92593, 0.00024436
726.12613, 0.00010748
726.32633, 0.00004542
726.52653, 0.00001845
726.72673, 0.00000723
726.92693, 0.00000281
727.12713, 0.00000130
727.32733, 0.00000127
727.52753, 0.00000266
727.72773, 0.00000669
727.92793, 0.00001671
728.12813, 0.00004025
728.32833, 0.00009318
728.52853, 0.00020724
728.72873, 0.00044281
728.92893, 0.00090900
729.12913, 0.00179266
729.32933, 0.00339648
729.52953, 0.00618235
729.72973, 0.01081112
729.92993, 0.01816275
730.13013, 0.02931472
730.33033, 0.04545519
730.53053, 0.06771339
730.73073, 0.09690787
730.93093, 0.13324072
731.13113, 0.17599824
731.33133, 0.22334338
731.53153, 0.27228975
731.73173, 0.31892086
731.93193, 0.35886242
732.13213, 0.38794169
732.33233, 0.40290101
732.53253, 0.40199781
732.73273, 0.38533853
732.93293, 0.35485802
733.13313, 0.31394981
733.33333, 0.26684511
733.53353, 0.21789723
733.73373, 0.17093759
733.93393, 0.12882996
734.13413, 0.09328023
734.33433, 0.06488671
734.53453, 0.04336260
734.73473, 0.02783994
734.93493, 0.01717176
735.13514, 0.01017547
735.33534, 0.00579279
735.53554, 0.00316821
735.73574, 0.00166470
735.93594, 0.00084033
736.13614, 0.00040753
736.33634, 0.00018987
736.53654, 0.00008499
736.73674, 0.00003655
736.93694, 0.00001510
737.13714, 0.00000599
737.33734, 0.00000229
737.53754, 0.00000084
737.73774, 0.00000030
737.93794, 0.00000012
738.13814, 0.00000009
738.33834, 0.00000018
738.53854, 0.00000043
738.73874, 0.00000106
738.93894, 0.00000253
739.13914, 0.00000576
739.33934, 0.00001264
739.53954, 0.00002663
739.73974, 0.00005389
739.93994, 0.00010476
740.14014, 0.00019568
740.34034, 0.00035115
740.54054, 0.00060536
740.74074, 0.00100262
740.94094, 0.00159532
741.14114, 0.00243869
741.34134, 0.00358143
741.54154, 0.00505301
741.74174, 0.00684915
741.94194, 0.00891903
742.14214, 0.01115813
742.34234, 0.01341093
742.54254, 0.01548530
742.74274, 0.01717805
742.94294, 0.01830719
743.14314, 0.01874402
743.34334, 0.01843730
743.54354, 0.01742309
743.74374, 0.01581782
743.94394, 0.01379626
744.14414, 0.01156032
744.34434, 0.00930618
744.54454, 0.00719725
744.74474, 0.00534755
744.94494, 0.00381713
745.14515, 0.00261765
745.34535, 0.00172457
745.54555, 0.00109155
745.74575, 0.00066374
745.94595, 0.00038775
746.14615, 0.00021762
746.34635, 0.00011733
746.54655, 0.00006078
746.74675, 0.00003025
746.94695, 0.00001446
747.14715, 0.00000664
747.34735, 0.00000293
747.54755, 0.00000124
747.74775, 0.00000051
747.94795, 0.00000020
748.14815, 0.00000008
748.34835, 0.00000004
748.54855, 0.00000004
748.74875, 0.00000008
748.94895, 0.00000024
749.14915, 0.00000066
749.34935, 0.00000175
749.54955, 0.00000448
749.74975, 0.00001103
749.94995, 0.00002610
750.15015, 0.00005930
750.35035, 0.00012946
750.55055, 0.00027154
750.75075, 0.00054715
750.95095, 0.00105918
751.15115, 0.00196984
751.35135, 0.00351954
751.55155, 0.00604134
751.75175, 0.00996264
751.95195, 0.01578371
752.15215, 0.02402353
752.35235, 0.03512838
752.55255, 0.04934837
752.75275, 0.06660103
752.95295, 0.08635401
753.15315, 0.10756662
753.35335, 0.12872590
753.55355, 0.14799524
753.75375, 0.16346434
753.95395, 0.17345695
754.15415, 0.17682913
754.35435, 0.17318463
754.55455, 0.16295148
754.75475, 0.14729930
754.95495, 0.12791942
755.15516, 0.10672489
755.35536, 0.08554377
755.55556, 0.06587255
755.75576, 0.04873197
755.95596, 0.03463514
756.15616, 0.02364903
756.35636, 0.01551326
756.55656, 0.00977656
756.75676, 0.00591920
756.95696, 0.00344297
757.15716, 0.00192396
757.35736, 0.00103289
757.55756, 0.00053273
757.75776, 0.00026397
757.95796, 0.00012566
758.15816, 0.00005747
758.35836, 0.00002525
758.55856, 0.00001066
758.75876, 0.00000432
758.95896, 0.00000168
759.15916, 0.00000063
759.35936, 0.00000023
759.55956, 0.00000010
759.75976, 0.00000010
759.95996, 0.00000024
760.16016, 0.00000069
760.36036, 0.00000191
760.56056, 0.00000513
760.76076, 0.00001324
760.96096, 0.00003284
761.16116, 0.00007825
761.36136, 0.00017911
761.56156, 0.00039387
761.76176, 0.00083210
761.96196, 0.00168886
762.16216, 0.00329307
762.36236, 0.00616884
762.56256, 0.01110194
762.76276, 0.01919498
762.96296, 0.03188379
763.16316, 0.05087983
763.36336, 0.07800362
763.56356, 0.11488868
763.76376, 0.16256730
763.96396, 0.22099505
764.16416, 0.28861928
764.36436, 0.36212754
764.56456, 0.43650698
764.76476, 0.50549196
764.96496, 0.56238113
