wavelength [nm],absorbance
512.09121, 0.10922800
512.10621, 0.10200599
512.12121, 0.09551666
512.13621, 0.08973224
512.15122, 0.08462496
512.16622, 0.08016769
512.18122, 0.07633443
512.19622, 0.07310086
512.21122, 0.07044478
512.22622, 0.06834650
512.24122, 0.06678920
512.25623, 0.06575922
512.27123, 0.06524631
512.28623, 0.06524380
512.30123, 0.06574873
512.31623, 0.06676190
512.33123, 0.06828789
512.34623, 0.07033496
512.36124, 0.07291498
512.37624, 0.07604319
512.39124, 0.07973801
512.40624, 0.08402068
512.42124, 0.08891492
512.43624, 0.09444653
512.45125, 0.10064286
512.46625, 0.10753234
512.48125, 0.11514385
512.49625, 0.12350612
512.51125, 0.13264710
512.52625, 0.14259319
512.54125, 0.15336861
512.55626, 0.16499461
512.57126, 0.17748874
512.58626, 0.19086412
512.60126, 0.20512868
512.61626, 0.22028449
512.63126, 0.23632707
512.64626, 0.25324474
512.66127, 0.27101809
512.67627, 0.28961946
512.69127, 0.30901252
512.70627, 0.32915196
512.72127, 0.34998327
512.73627, 0.37144263
512.75128, 0.39345693
512.76628, 0.41594389
512.78128, 0.43881240
512.79628, 0.46196288
512.81128, 0.48528783
512.82628, 0.50867256
512.84128, 0.53199599
512.85629, 0.55513156
512.87129, 0.57794836
512.88629, 0.60031222
512.90129, 0.62208703
512.91629, 0.64313604
512.93129, 0.66332325
512.94629, 0.68251486
512.96130, 0.70058068
512.97630, 0.71739563
512.99130, 0.73284111
513.00630, 0.74680640
513.02130, 0.75918995
513.03630, 0.76990058
513.05131, 0.77885861
513.06631, 0.78599680
513.08131, 0.79126119
513.09631, 0.79461177
513.11131, 0.79602297
513.12631, 0.79548397
513.14131, 0.79299882
513.15632, 0.78858643
513.17132, 0.78228027
513.18632, 0.77412796
513.20132, 0.76419072
513.21632, 0.75254251
513.23132, 0.73926923
513.24632, 0.72446758
513.26133, 0.70824393
513.27633, 0.69071307
513.29133, 0.67199683
513.30633, 0.65222271
513.32133, 0.63152244
513.33633, 0.61003055
513.35134, 0.58788289
513.36634, 0.56521531
513.38134, 0.54216223
513.39634, 0.51885539
513.41134, 0.49542266
513.42634, 0.47198695
513.44134, 0.44866518
513.45635, 0.42556748
513.47135, 0.40279639
513.48635, 0.38044628
513.50135, 0.35860293
513.51635, 0.33734310
513.53135, 0.31673441
513.54635, 0.29683524
513.56136, 0.27769478
513.57636, 0.25935317
513.59136, 0.24184183
513.60636, 0.22518377
513.62136, 0.20939407
513.63636, 0.19448038
513.65137, 0.18044354
513.66637, 0.16727818
513.68137, 0.15497340
513.69637, 0.14351350
513.71137, 0.13287862
513.72637, 0.12304555
513.74137, 0.11398837
513.75638, 0.10567919
513.77138, 0.09808883
513.78638, 0.09118746
513.80138, 0.08494523
513.81638, 0.07933287
513.83138, 0.07432219
513.84638, 0.06988665
513.86139, 0.06600173
513.87639, 0.06264539
513.89139, 0.05979840
513.90639, 0.05744466
513.92139, 0.05557141
513.93639, 0.05416948
513.95140, 0.05323339
513.96640, 0.05276148
513.98140, 0.05275593
513.99640, 0.05322279
514.01140, 0.05417187
514.02640, 0.05561666
514.04140, 0.05757418
514.05641, 0.06006478
514.07141, 0.06311183
514.08641, 0.06674148
514.10141, 0.07098227
514.11641, 0.07586473
514.13141, 0.08142092
514.14641, 0.08768397
514.16142, 0.09468751
514.17642, 0.10246510
514.19142, 0.11104963
514.20642, 0.12047264
514.22142, 0.13076368
514.23642, 0.14194960
514.25143, 0.15405380
514.26643, 0.16709557
514.28143, 0.18108933
514.29643, 0.19604393
514.31143, 0.21196197
514.32643, 0.22883911
514.34143, 0.24666350
514.35644, 0.26541519
514.37144, 0.28506563
514.38644, 0.30557729
514.40144, 0.32690329
514.41644, 0.34898721
514.43144, 0.37176294
514.44644, 0.39515472
514.46145, 0.41907724
514.47645, 0.44343594
514.49145, 0.46812736
514.50645, 0.49303973
514.52145, 0.51805361
514.53645, 0.54304274
514.55146, 0.56787493
514.56646, 0.59241317
514.58146, 0.61651680
514.59646, 0.64004276
514.61146, 0.66284697
514.62646, 0.68478575
514.64146, 0.70571728
514.65647, 0.72550313
514.67147, 0.74400970
514.68647, 0.76110977
514.70147, 0.77668392
514.71647, 0.79062188
514.73147, 0.80282387
514.74647, 0.81320175
514.76148, 0.82168010
514.77648, 0.82819710
514.79148, 0.83270534
514.80648, 0.83517233
514.82148, 0.83558095
514.83648, 0.83392962
514.85149, 0.83023233
514.86649, 0.82451843
514.88149, 0.81683228
514.89649, 0.80723267
514.91149, 0.79579210
514.92649, 0.78259585
514.94149, 0.76774098
514.95650, 0.75133509
514.97150, 0.73349511
514.98650, 0.71434584
515.00150, 0.69401859
515.01650, 0.67264962
515.03150, 0.65037871
515.04650, 0.62734759
515.06151, 0.60369850
515.07651, 0.57957275
515.09151, 0.55510935
515.10651, 0.53044373
515.12151, 0.50570657
515.13651, 0.48102272
515.15152, 0.45651023
515.16652, 0.43227957
515.18152, 0.40843295
515.19652, 0.38506375
515.21152, 0.36225616
515.22652, 0.34008490
515.24152, 0.31861510
515.25653, 0.29790233
515.27153, 0.27799270
515.28653, 0.25892310
515.30153, 0.24072158
515.31653, 0.22340773
515.33153, 0.20699323
515.34653, 0.19148240
515.36154, 0.17687283
515.37654, 0.16315608
515.39154, 0.15031833
515.40654, 0.13834112
515.42154, 0.12720207
515.43654, 0.11687558
515.45155, 0.10733357
515.46655, 0.09854610
515.48155, 0.09048209
515.49655, 0.08310992
515.51155, 0.07639800
515.52655, 0.07031533
515.54155, 0.06483202
515.55656, 0.05991971
515.57156, 0.05555201
515.58656, 0.05170487
515.60156, 0.04835687
